latitude,longitude,acq_date,confidence,frp,daynight
36.74914,3.07987,2026-05-16,n,1.03,N
36.96674,-1.90341,2026-05-16,n,1.89,N
37.98834,-8.12396,2026-05-16,n,1.26,N
38.62655,-9.07843,2026-05-16,n,0.69,N
38.62777,-9.07886,2026-05-16,n,1.43,N
38.63118,-9.07787,2026-05-16,n,0.69,N
51.16538,3.81118,2026-05-16,n,2.15,N
51.17388,3.80682,2026-05-16,n,2.66,N
51.17572,3.80781,2026-05-16,n,0.95,N
52.48202,4.59218,2026-05-16,n,2.53,N
52.4898,4.61543,2026-05-16,n,2.31,N
52.49382,4.60585,2026-05-16,n,2.43,N
52.49508,4.61279,2026-05-16,n,3.76,N
53.63425,-0.24446,2026-05-16,n,1.58,N
53.63552,-0.24046,2026-05-16,n,1.49,N
51.03424,2.29248,2026-05-16,n,1.89,N
51.03518,2.28776,2026-05-16,n,2.21,N
38.92082,-9.0126,2026-05-16,n,1.14,N
38.92229,-9.00958,2026-05-16,n,0.98,N
51.89226,29.34568,2026-05-16,n,5.45,D
64.66531,21.2811,2026-05-16,n,3.84,D
65.56297,22.2324,2026-05-16,n,1.96,D
65.56409,22.21896,2026-05-16,n,9.39,D
70.69241,23.59802,2026-05-16,n,1.98,D
70.69372,23.58387,2026-05-16,l,1.98,D
35.2075,11.1065,2026-05-16,n,1.14,D
36.86684,6.98331,2026-05-16,n,5.36,D
36.87037,6.98183,2026-05-16,n,5.93,D
37.43797,15.03125,2026-05-16,l,2.43,D
38.73785,26.93254,2026-05-16,n,3.63,D
39.08425,9.01916,2026-05-16,l,2.27,D
42.71494,24.17614,2026-05-16,l,3.71,D
42.79602,24.74964,2026-05-16,n,4.07,D
45.21222,28.85439,2026-05-16,n,18.12,D
45.21706,28.85383,2026-05-16,n,123.47,D
45.6121,9.40133,2026-05-16,n,2.8,D
45.61228,8.91762,2026-05-16,n,3.07,D
45.61248,8.91977,2026-05-16,n,2.48,D
48.36772,27.26052,2026-05-16,n,3.67,D
49.52829,12.80858,2026-05-16,n,3.05,D
49.65287,28.37817,2026-05-16,n,15.91,D
49.65331,28.38662,2026-05-16,n,22.79,D
49.6578,28.37759,2026-05-16,n,10.07,D
51.46299,13.53736,2026-05-16,n,3.96,D
51.59319,13.8176,2026-05-16,n,6.86,D
51.59645,13.81616,2026-05-16,n,6.86,D
